City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,imbituba,-28.24,-48.67,82.4,61,20,10.29,BR,1605364003
1,bugiri,0.57,33.74,75.81,78,73,4.65,UG,1605364003
2,bredasdorp,-34.53,20.04,64.4,59,100,19.46,ZA,1605364003
3,muriwai beach,-36.82,174.45,54.0,93,0,4.18,NZ,1605364004
4,ilulissat,69.22,-51.1,12.2,66,75,24.16,GL,1605364004
5,hermanus,-34.42,19.23,61.0,73,94,4.0,ZA,1605364004
6,ixtapa,20.7,-105.2,72.0,94,75,3.36,MX,1605363739
7,victoria,22.29,114.16,73.0,76,100,1.99,HK,1605363786
8,balabac,7.99,117.06,83.14,79,0,9.93,PH,1605364004
9,rikitea,-23.12,-134.97,75.36,82,62,14.65,PF,1605364004
10,gorontalo,0.54,123.06,76.75,86,52,2.73,ID,1605363906
11,broome,42.25,-75.83,41.0,59,1,6.93,US,1605364004
12,yellowknife,62.46,-114.35,3.2,77,90,4.7,CA,1605364004
13,mitu,1.2,-70.17,84.94,62,68,3.58,CO,1605364004
14,ballangen,68.34,16.83,44.6,56,96,11.41,NO,1605364004
15,turukhansk,65.82,87.98,-12.41,90,99,3.13,RU,1605364004
16,ust-ilimsk,58.0,102.66,13.28,96,75,4.21,RU,1605364004
17,sao joao da barra,-21.64,-41.05,82.4,74,75,2.24,BR,1605363838
18,atuona,-9.8,-139.03,77.49,73,86,15.66,PF,1605364004
19,sao filipe,14.9,-24.5,82.89,57,0,6.53,CV,1605364004
20,pevek,69.7,170.31,-0.9,93,100,8.79,RU,1605364005
21,clyde river,70.47,-68.59,21.2,73,90,20.8,CA,1605364005
22,bayonne,43.33,-1.42,68.0,45,0,10.29,FR,1605364005
23,albany,42.6,-73.97,44.01,59,25,10.13,US,1605364005
24,ushuaia,-54.8,-68.3,39.2,80,75,16.11,AR,1605363933
25,longyearbyen,78.22,15.64,42.8,75,75,13.87,SJ,1605363991
26,tasiilaq,65.61,-37.64,26.6,68,75,9.17,GL,1605364005
27,chokurdakh,70.63,147.92,-19.32,88,51,5.64,RU,1605364005
28,bambous virieux,-20.34,57.76,78.01,94,40,2.24,MU,1605364005
29,esperance,-33.87,121.9,59.0,93,90,17.22,AU,1605364005
30,urubicha,-15.38,-62.95,92.98,40,56,6.24,BO,1605364005
31,xuanzhou,30.95,118.76,56.64,77,0,8.97,CN,1605364005
32,mahebourg,-20.41,57.7,75.2,94,40,2.24,MU,1605364006
33,hasaki,35.73,140.83,44.6,93,0,2.24,JP,1605364006
34,port alfred,-33.59,26.89,69.53,74,59,20.0,ZA,1605364006
35,qaanaaq,77.48,-69.36,2.05,85,92,10.85,GL,1605364006
36,hobart,-42.88,147.33,55.4,58,90,5.82,AU,1605364006
37,neiafu,-18.65,-173.98,77.0,78,20,8.05,TO,1605364006
38,zaida,34.06,72.47,59.0,87,75,3.4,PK,1605364006
39,ribeira grande,38.52,-28.7,69.8,88,40,19.46,PT,1605364006
40,puerto ayora,-0.74,-90.35,69.01,91,97,4.0,EC,1605364006
41,bluff,-46.6,168.33,63.0,60,100,8.01,NZ,1605364006
42,chumikan,54.72,135.31,25.34,94,89,20.11,RU,1605364006
43,berlevag,70.86,29.09,40.48,77,44,26.75,NO,1605364006
44,mataura,-46.19,168.86,63.0,60,100,8.01,NZ,1605364006
45,yerofey pavlovich,53.97,121.97,18.54,91,100,2.68,RU,1605364006
46,gallup,35.53,-108.74,39.2,51,1,8.05,US,1605364006
47,geraldton,-28.77,114.6,64.4,72,40,13.87,AU,1605364007
48,saint-augustin,51.23,-58.65,34.12,80,100,12.88,CA,1605364007
49,shimoda,34.67,138.95,52.0,85,0,5.82,JP,1605364007
50,georgetown,5.41,100.34,84.2,79,20,4.7,MY,1605364007
51,lavra,41.26,-8.72,62.6,93,75,16.11,PT,1605364007
52,vaini,-21.2,-175.2,75.2,88,20,5.82,TO,1605364007
53,gizo,-8.1,156.84,82.76,76,34,3.85,SB,1605364007
54,bismarck,46.81,-100.78,32.0,85,1,4.7,US,1605363962
55,beisfjord,68.38,17.6,44.6,56,70,11.41,NO,1605364007
56,coihaique,-45.58,-72.07,51.8,50,40,5.82,CL,1605364007
57,mehamn,71.04,27.85,40.24,76,22,25.9,NO,1605364007
58,masyaf,35.07,36.34,73.4,38,75,4.7,SY,1605364007
59,arraial do cabo,-22.97,-42.03,82.4,78,90,6.93,BR,1605364007
60,gravdal,68.12,13.5,46.4,70,40,17.22,NO,1605364007
61,elbrus,43.26,42.64,27.21,78,49,0.98,RU,1605364008
62,gbadolite,4.28,21.02,87.42,55,43,4.09,CD,1605364008
63,avera,33.19,-82.53,57.0,82,90,5.82,US,1605364008
64,polunochnoye,60.87,60.42,10.74,92,0,2.8,RU,1605364008
65,maningrida,-12.07,134.27,82.81,73,0,3.85,AU,1605364008
66,korla,41.76,86.15,43.65,52,67,9.17,CN,1605364008
67,delta del tigre,-34.76,-56.39,73.0,73,90,4.7,UY,1605364008
68,mar del plata,-38.0,-57.56,68.0,88,75,9.17,AR,1605364008
69,edgewater,28.99,-80.9,75.2,78,75,12.75,US,1605364008
70,ozieri,40.59,9.0,70.0,77,40,6.93,IT,1605364008
71,east london,-33.02,27.91,69.8,68,75,27.51,ZA,1605364001
72,chernyshevskiy,63.01,112.47,4.06,95,97,7.54,RU,1605364008
73,luderitz,-26.65,15.16,67.28,62,0,19.73,NA,1605364008
74,jamestown,42.1,-79.24,39.0,74,90,5.82,US,1605364009
75,thompson,55.74,-97.86,15.8,100,90,6.93,CA,1605364009
76,andradina,-20.9,-51.38,89.35,45,33,7.25,BR,1605364009
77,tawang,27.58,91.87,41.88,66,2,5.1,IN,1605364009
78,mineros,-17.12,-63.23,84.2,70,75,17.22,BO,1605364009
79,tuktoyaktuk,69.45,-133.04,10.4,92,90,27.51,CA,1605364009
80,busselton,-33.65,115.33,54.0,98,30,14.92,AU,1605364009
81,roald,62.58,6.13,50.0,66,75,10.29,NO,1605364009
82,punta arenas,-53.15,-70.92,42.8,62,75,31.09,CL,1605364009
83,aswan,24.09,32.91,85.15,19,0,8.03,EG,1605364010
84,lodwar,3.12,35.6,94.42,28,69,16.28,KE,1605364010
85,avarua,-21.21,-159.78,69.8,94,11,2.24,CK,1605364010
86,saint george,37.1,-113.58,37.4,59,20,7.16,US,1605363867
87,troitsko-pechorsk,62.71,56.2,10.87,93,84,2.75,RU,1605364010
88,ahipara,-35.17,173.17,53.82,82,0,1.79,NZ,1605364010
89,tuatapere,-46.13,167.68,63.0,60,100,8.01,NZ,1605364010
90,orshanka,56.92,47.89,18.32,94,65,4.54,RU,1605364010
91,kananga,-5.9,22.42,70.92,94,100,6.87,CD,1605364010
92,saint-philippe,-21.36,55.77,75.2,78,75,9.17,RE,1605364010
93,cidreira,-30.18,-50.21,74.57,77,0,10.0,BR,1605364010
94,thunder bay,48.4,-89.32,33.01,100,90,4.7,CA,1605363743
95,nouakchott,18.09,-15.98,96.8,8,0,17.22,MR,1605364010
96,provideniya,64.38,-173.3,18.21,89,0,7.11,RU,1605364010
97,corinto,37.94,22.96,66.0,46,3,1.99,GR,1605363857
98,omsukchan,62.53,155.8,5.18,92,100,3.18,RU,1605364010
99,chitral,35.85,71.79,44.94,59,100,7.25,PK,1605364010
100,letlhakane,-21.42,25.58,90.37,20,65,5.64,BW,1605364010
101,guane,22.2,-84.09,78.13,85,7,9.8,CU,1605364011
102,pemangkat,1.17,108.97,77.63,85,100,2.82,ID,1605364011
103,fukuma,33.77,130.47,53.01,76,10,2.24,JP,1605363752
104,baykalovo,57.4,63.77,11.77,93,74,10.45,RU,1605364011
105,byron bay,-28.65,153.62,73.4,94,75,9.17,AU,1605364011
106,kenai,60.55,-151.26,27.0,85,90,3.36,US,1605364011
107,hithadhoo,-0.6,73.08,83.95,76,100,22.06,MV,1605363810
108,castro,-24.79,-50.01,80.19,48,6,6.17,BR,1605364011
109,talgar,43.3,77.24,33.8,86,90,8.95,KZ,1605364011
110,ayorou,14.73,0.92,94.12,11,36,10.76,NE,1605364011
111,namatanai,-3.67,152.43,81.09,77,2,11.63,PG,1605364011
112,cayenne,4.93,-52.33,82.4,88,75,2.24,GF,1605363834
113,jiwani,25.05,61.74,78.24,67,0,13.4,PK,1605363866
114,cape town,-33.93,18.42,66.99,59,75,14.99,ZA,1605363817
115,iqaluit,63.75,-68.51,21.2,57,75,6.93,CA,1605363927
116,olafsvik,64.89,-23.71,32.86,89,28,14.03,IS,1605364011
117,port lincoln,-34.73,135.87,65.19,66,79,8.16,AU,1605364012
118,faya,18.39,42.45,73.4,72,40,9.17,SA,1605364012
119,kingman,35.19,-114.05,44.6,48,1,0.58,US,1605363890
120,ossora,59.24,163.07,27.27,98,100,10.71,RU,1605364012
121,gamba,-2.65,10.0,81.77,80,77,10.96,GA,1605364012
122,moussoro,13.64,16.49,94.35,11,0,19.62,TD,1605364012
123,khatanga,71.97,102.5,-7.98,90,100,16.11,RU,1605364012
124,kavieng,-2.57,150.8,83.34,77,39,15.82,PG,1605364012
125,new norfolk,-42.78,147.06,55.4,58,90,5.82,AU,1605364012
126,nayoro,44.35,142.46,32.45,95,0,3.85,JP,1605364012
127,merauke,-8.47,140.33,79.34,75,44,12.17,ID,1605364012
128,roebourne,-20.78,117.13,76.44,60,0,19.08,AU,1605364012
129,faanui,-16.48,-151.75,79.09,79,76,10.13,PF,1605364012
130,abeche,13.83,20.83,93.63,10,0,14.34,TD,1605364012
131,trincomalee,8.57,81.23,82.29,80,100,13.22,LK,1605363910
132,katsuura,35.13,140.3,59.0,67,0,6.93,JP,1605364013
133,saint-ambroise,48.55,-71.33,32.0,100,86,4.7,CA,1605364013
134,bagdarin,54.43,113.6,12.7,87,0,3.38,RU,1605364013
135,povenets,62.85,34.83,36.25,91,100,6.82,RU,1605364013
136,seoul,37.57,126.98,48.2,87,75,0.92,KR,1605363824
137,barrow,71.29,-156.79,17.6,72,90,18.34,US,1605364013
138,pokaran,26.92,71.92,78.39,25,1,6.87,IN,1605364013
139,methoni,36.82,21.7,69.8,46,20,9.17,GR,1605364013
140,nekhayevskiy,50.41,41.76,30.99,82,12,1.01,RU,1605364014
141,atar,20.52,-13.05,93.76,12,77,18.01,MR,1605364014
142,west bay,19.37,-81.42,84.2,79,20,8.05,KY,1605364014
143,san borja,-14.82,-66.85,86.77,62,66,5.1,BO,1605364014
144,chuy,-33.7,-53.46,75.76,62,23,5.06,UY,1605364014
145,sakakah,29.97,40.21,73.4,28,40,10.29,SA,1605364014
146,iracoubo,5.48,-53.2,85.21,70,99,10.49,GF,1605364014
147,djambala,-2.54,14.75,76.62,83,100,6.64,CG,1605364014
148,lasa,46.62,10.7,48.99,65,5,9.17,IT,1605364014
149,grand-santi,4.25,-54.38,87.82,56,100,4.41,GF,1605364014
150,aljezur,37.32,-8.8,68.0,95,75,4.0,PT,1605363804
151,kamaishi,39.27,141.88,44.8,69,0,7.4,JP,1605364014
152,asau,46.43,26.4,48.2,70,20,4.7,RO,1605364014
153,college,64.86,-147.8,15.8,85,90,2.44,US,1605364014
154,butaritari,3.07,172.79,81.16,69,0,6.73,KI,1605364015
155,sterling,39.01,-77.43,50.0,66,75,7.9,US,1605364015
156,upernavik,72.79,-56.15,12.47,91,99,12.33,GL,1605364015
157,guerrero negro,27.98,-114.06,61.5,77,0,11.5,MX,1605364015
158,grand gaube,-20.01,57.66,78.01,76,9,3.0,MU,1605364015
159,husavik,66.04,-17.34,33.8,86,90,8.05,IS,1605364015
160,dikson,73.51,80.55,23.4,99,100,9.82,RU,1605364015
161,poum,-20.23,164.02,77.43,83,15,13.4,NC,1605364015
162,nanortalik,60.14,-45.24,26.29,87,0,11.72,GL,1605364015
163,hambantota,6.12,81.12,80.6,94,40,4.7,LK,1605364015
164,manzanillo,20.34,-77.12,78.39,84,6,11.45,CU,1605364015
165,palmer,42.16,-72.33,44.6,75,40,16.11,US,1605363808
166,algiers,36.75,3.04,71.6,68,75,8.05,DZ,1605363950
167,wanning,18.8,110.4,76.91,88,100,20.62,CN,1605364016
168,la brea,15.8,-85.97,82.4,74,20,3.0,HN,1605364016
169,zhigansk,66.77,123.37,2.03,94,97,8.14,RU,1605364016
170,san quintin,30.48,-115.95,44.01,40,0,8.01,MX,1605364016
171,sitka,57.05,-135.33,37.4,86,90,6.93,US,1605364016
172,dingle,11.0,122.67,77.7,89,3,6.87,PH,1605364016
173,mount gambier,-37.83,140.77,50.0,93,0,6.93,AU,1605363782
174,yaan,7.38,8.57,95.07,35,53,2.3,NG,1605364016
175,nikolskoye,59.7,30.79,34.0,80,90,4.47,RU,1605364016
176,vila franca do campo,37.72,-25.43,66.2,93,75,14.99,PT,1605364016
177,beringovskiy,63.05,179.32,14.88,89,97,9.78,RU,1605364016
178,baturaja,-4.13,104.17,77.11,90,70,1.05,ID,1605364016
179,narsaq,60.92,-46.05,15.8,56,75,5.82,GL,1605364016
180,mayo,38.89,-76.51,54.0,57,1,8.05,US,1605364016
181,zhezkazgan,47.8,67.71,26.26,93,100,8.81,KZ,1605364017
182,bafoulabe,13.81,-10.83,97.84,9,0,9.19,ML,1605364017
183,huarmey,-10.07,-78.15,65.88,74,81,4.72,PE,1605364017
184,westport,41.14,-73.36,46.99,65,1,6.93,US,1605363977
185,ayan,56.45,138.17,24.44,92,71,8.32,RU,1605364017
186,alexandria,31.22,29.96,73.4,64,40,17.22,EG,1605364017
187,san cristobal,7.77,-72.22,78.8,74,40,4.7,VE,1605364017
188,carballo,43.21,-8.69,63.0,80,100,13.0,ES,1605364017
189,brae,60.4,-1.35,50.0,87,20,21.92,GB,1605364017
190,saldanha,-33.01,17.94,64.4,68,98,16.11,ZA,1605364017
191,batagay,67.63,134.63,-15.81,85,78,2.06,RU,1605364017
192,yulara,-25.24,130.99,80.6,21,0,3.36,AU,1605364017
193,svetlaya,46.54,138.33,35.65,76,1,7.0,RU,1605364017
194,guanica,17.97,-66.91,84.99,58,97,5.35,PR,1605364017
195,abha,18.22,42.51,73.4,72,40,9.17,SA,1605364017
196,lata,40.16,-8.33,64.99,82,96,3.0,PT,1605364018
197,saint-felix-de-valois,46.17,-73.43,39.2,86,38,6.93,CA,1605364018
198,jining,35.41,116.58,55.29,65,0,6.22,CN,1605364018
199,leh,34.17,77.58,33.8,71,100,4.97,IN,1605364018
200,harper,4.38,-7.72,82.56,74,35,5.59,LR,1605364018
201,lebu,-37.62,-73.65,54.1,64,0,11.34,CL,1605364018
202,shadegan,30.65,48.66,77.0,38,0,9.17,IR,1605364018
203,pyaozerskiy,65.83,31.17,34.99,88,100,10.09,RU,1605364018
204,dauphin,51.15,-100.05,28.4,93,90,3.36,CA,1605363746
205,nehe,48.48,124.83,29.64,88,0,4.56,CN,1605364018
206,khasan,42.43,130.64,42.98,78,0,4.41,RU,1605364018
207,carnarvon,-24.87,113.63,69.8,64,40,13.87,AU,1605364018
208,port-gentil,-0.72,8.78,86.0,74,40,12.75,GA,1605364018
209,xingyi,24.19,102.82,46.76,63,0,1.1,CN,1605364018
210,ostrovnoy,68.05,39.51,36.3,89,100,15.12,RU,1605364018
211,namalenga,-10.95,39.1,87.48,46,99,4.43,TZ,1605364019
212,hilo,19.73,-155.09,71.6,78,40,3.36,US,1605363771
213,kaduy,59.2,37.15,33.8,100,75,4.0,RU,1605364019
214,linjiang,41.81,126.91,36.79,74,99,2.17,CN,1605364019
215,fuerte olimpo,-21.04,-57.87,94.77,40,0,8.84,PY,1605364019
216,cleveland,41.5,-81.7,37.99,69,1,9.17,US,1605364009
217,vestmannaeyjar,63.44,-20.27,35.6,74,0,17.22,IS,1605364019
218,uray,60.12,64.78,10.51,92,17,8.14,RU,1605364019
219,buraydah,26.33,43.98,75.2,47,0,8.05,SA,1605364019
220,patawag,8.11,122.62,80.82,84,42,8.9,PH,1605364019
221,kohat,33.58,71.45,55.4,93,90,9.17,PK,1605364019
222,gravelbourg,49.88,-106.55,26.6,79,50,16.11,CA,1605364019
223,dhola,21.88,71.78,86.0,58,20,2.24,IN,1605364019
224,beloha,-25.17,45.05,72.72,50,0,17.65,MG,1605364019
225,bethel,41.37,-73.41,44.6,70,1,3.36,US,1605364019
226,kokopo,-4.35,152.26,77.76,84,22,4.43,PG,1605364020
227,taoudenni,22.68,-3.98,90.61,12,0,10.02,ML,1605364020
228,vila velha,-20.33,-40.29,84.2,66,75,10.29,BR,1605364020
229,qaqortoq,60.72,-46.03,15.8,56,75,5.82,GL,1605364020
230,arona,28.1,-16.68,75.99,83,0,16.11,ES,1605363871
231,borovoy,55.43,86.08,21.2,85,40,4.47,RU,1605364020
232,buala,-8.14,159.59,81.43,78,17,5.53,SB,1605364020
233,panambi,-28.29,-53.5,89.6,35,0,10.29,BR,1605364020
234,barentu,15.11,37.59,87.89,23,1,14.63,ER,1605364020
235,san lawrenz,36.06,14.2,72.0,60,20,6.93,MT,1605364020
236,port macquarie,-31.43,152.92,61.0,100,4,3.69,AU,1605364020
237,hualmay,-11.1,-77.61,66.04,73,73,7.14,PE,1605364020
238,norman wells,65.28,-126.83,-25.6,74,5,1.95,CA,1605364020
239,bulgan,48.81,103.53,25.2,90,86,2.44,MN,1605364021
240,san patricio,28.02,-97.52,77.0,100,75,8.05,US,1605364021
241,kapaa,22.08,-159.32,77.0,83,75,10.29,US,1605364021
242,vagur,61.47,-6.81,47.71,84,26,11.27,FO,1605364021
243,mandalgovi,45.76,106.27,26.82,91,43,11.05,MN,1605364021
244,mount isa,-20.73,139.5,80.6,65,74,3.36,AU,1605364021
245,muravlenko,63.79,74.52,-12.78,90,13,4.14,RU,1605364021
246,plerin,48.54,-2.78,60.01,82,100,13.87,FR,1605364021
247,vysokogornyy,50.12,139.15,19.65,96,82,6.13,RU,1605364021
248,catuday,16.29,119.81,80.71,82,36,5.06,PH,1605364021
249,torbay,47.67,-52.73,37.0,95,90,16.11,CA,1605364021
250,santa rosa,14.31,121.11,82.4,78,20,3.36,PH,1605363986
251,boa vista,2.82,-60.67,87.8,58,75,5.82,BR,1605363757
252,hofn,64.25,-15.21,40.21,69,0,13.04,IS,1605364021
253,kieta,-6.22,155.63,80.17,77,8,4.03,PG,1605364022
254,dhidhdhoo,6.88,73.1,83.61,77,100,8.55,MV,1605364022
255,rochester,43.15,-77.62,42.01,69,75,12.75,US,1605363955
256,berdigestyakh,62.1,126.7,11.03,96,96,4.56,RU,1605364022
257,felanitx,39.47,3.15,73.4,64,40,9.17,ES,1605364022
258,san javier,37.81,-0.84,68.0,88,20,3.36,ES,1605364022
259,vieux-habitants,16.06,-61.77,84.2,70,20,9.17,GP,1605364022
260,lavrentiya,65.58,-171.0,22.69,91,97,12.24,RU,1605364022
261,kaitangata,-46.28,169.85,60.01,64,100,6.49,NZ,1605364022
262,danielskuil,-28.19,23.54,85.39,18,41,12.35,ZA,1605364022
263,vieques,18.43,-65.83,82.4,74,75,11.41,PR,1605364022
264,laguna,38.42,-121.42,51.01,93,90,5.82,US,1605364022
265,tuskegee,32.42,-85.69,57.99,100,0,1.99,US,1605364022
266,port hedland,-20.32,118.57,78.8,69,0,13.87,AU,1605364022
267,arawa,-6.21,155.54,78.37,80,13,3.27,PG,1605364022
268,severo-kurilsk,50.68,156.12,43.56,92,100,12.84,RU,1605364022
269,marystown,47.17,-55.15,39.99,100,100,15.99,CA,1605364023
270,bjornevatn,69.67,29.98,35.6,83,75,23.04,NO,1605364023
271,chachapoyas,-6.23,-77.87,59.47,84,100,3.04,PE,1605364023
272,bowen,-20.02,148.23,71.6,94,2,4.7,AU,1605364023
273,havre-saint-pierre,50.23,-63.6,33.8,96,90,9.17,CA,1605364023
274,balkanabat,39.51,54.37,49.86,47,0,2.35,TM,1605364023
275,narasannapeta,18.42,84.05,77.43,67,0,10.47,IN,1605364023
276,tallahassee,30.44,-84.28,66.99,55,1,8.05,US,1605363930
277,lorengau,-2.02,147.27,83.25,75,59,8.52,PG,1605364023
278,atemar,54.18,45.41,29.89,94,100,4.14,RU,1605364023
279,bengkulu,-3.8,102.27,79.83,87,100,3.49,ID,1605363932
280,hattiesburg,31.33,-89.29,61.0,87,1,5.82,US,1605363816
281,traverse city,44.76,-85.62,32.0,68,20,8.05,US,1605363772
